"id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se"
"160424_2013_132346",2013-08-10,-67.7714413155928,40.8713988040416,-7544.28233757802,4965.42494452959,0.38126815075283,0.265577433994095,0.385956750971003,2.59190495992417,0.223711667990796,0.205942896579415
"160424_2013_132346",2013-08-11,-67.4936890112421,41.1749929198604,-7513.36309249104,5010.04972645886,0.36562173715527,0.239948215249386,0.345370193592694,2.12690485041263,0.0531393876568596,0.0338355119350874
"160424_2013_132346",2013-08-12,-67.2355877708616,40.9676410566351,-7484.63139383877,4979.54900983465,4.02174543501333,3.55771381049531,1.95110583999426,-0.660271422020216,0.322236699702704,0.284965088372509
"160424_2013_132346",2013-08-13,-66.7021438457721,41.0760809554211,-7425.24868773104,4995.48803919094,0.911601200066943,0.531326332276537,3.48867500693921,0.489885990179889,0.1281996936084,0.084608485600813
"160424_2013_132346",2013-08-14,-66.3423101981278,41.439957420764,-7385.19218930499,5049.1670005086,1.06057226973978,0.817477531214944,1.18275760052273,2.43012203973465,0.0955172919385243,0.0737264684278773
"160424_2013_132346",2013-08-15,-66.4768778165996,41.8525391877168,-7400.17218807053,5110.39914759375,4.3002752280372,3.21913197724498,-0.0970635424716699,1.68640178239183,0.287038678801099,0.21531590496921
"160424_2013_132346",2013-08-16,-66.6317720425604,42.1975601432739,-7417.41493443131,5161.91060378587,0.403947938701172,0.364317383552513,1.33605060692393,3.21589299006733,0.115868720897626,0.0803598265774712
"160424_2013_132346",2013-08-17,-66.8904911229676,42.3060393088801,-7446.21541072074,5178.16495764625,9.07821437246898,8.7394493529065,-2.04847410170184,0.556368185425683,0.75435244110513,0.729656681920989
"160424_2013_132346",2013-08-18,-67.1586911047335,42.2170146813217,-7476.07129612169,5164.82357118543,4.78915577675548,4.56122705402055,-1.22277404289415,-1.36558197865215,0.888793413648433,0.865631334730467
"160424_2013_132346",2013-08-19,-67.4967498168006,42.395037668428,-7513.70381980723,5191.52141762759,0.431457090503873,0.327592843623264,-2.14374200106762,1.20307428536725,0.258888493788454,0.231684889266958
"160424_2013_132346",2013-08-20,-68.0255085438807,42.6603579720967,-7572.56497205828,5231.45310214206,1.43655412647907,1.1748051203481,-2.6333098726777,1.9712429956771,0.30604071564697,0.234383364004432
"160424_2013_132346",2013-08-21,-68.5754891813067,42.6264047632383,-7633.7885365627,5226.33347042827,0.624690408069751,0.525598082915068,-2.78520777131992,-0.772906624065343,0.122940774698319,0.0931319134008826
"160424_2013_132346",2013-08-22,-69.1074126959753,42.5784685915913,-7693.00199135658,5219.11020511206,0.609131495203472,0.516301898380518,-2.55887461347275,-0.0651972909510652,0.0776209394721514,0.0523669074987341
"160424_2013_132346",2013-08-23,-69.7874872865359,42.6936469243328,-7768.70754847923,5236.47530859516,1.50626538535083,1.42209742991621,-3.38902898154568,1.21193943197037,0.161235951840753,0.153618725619694
