DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Beamer",132346,SPOT,2013-08-03 02:06:30,Argos,B,40.43500137,-69.96899414,,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 02:43:33,Argos,1,40.44300079,-69.95098877,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 05:54:28,Argos,3,40.41199875,-69.93399048,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 06:56:46,Argos,1,40.40399933,-69.93301392,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 06:56:46,Argos,1,40.40399933,-69.93299866,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 07:35:30,Argos,A,40.42100143,-69.94000244,,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 08:34:08,Argos,2,40.41600037,-69.93399048,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 08:35:40,Argos,1,40.41400146,-69.93399048,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 00:05:44,Argos,3,40.33399963,-69.86801147,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 00:05:44,Argos,3,40.33399963,-69.86799622,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 00:47:10,Argos,2,40.32500076,-69.87399292,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 01:34:33,Argos,A,40.30400085,-69.89401245,,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 01:34:33,Argos,A,40.30400085,-69.89399719,,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 01:42:11,Argos,B,40.30199814,-69.89498901,,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 02:24:09,Argos,2,40.29600143,-69.84899902,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 05:43:07,Argos,1,40.23899841,-69.80099487,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 06:49:18,Argos,0,40.24000168,-69.78201294,,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 06:49:18,Argos,0,40.24000168,-69.78199768,,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 07:26:56,Argos,2,40.23899841,-69.76501465,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-04 07:26:56,Argos,2,40.23899841,-69.76499939,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 00:25:09,Argos,2,40.44300079,-69.56500244,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 01:12:12,Argos,B,40.44300079,-69.55099487,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 01:14:55,Argos,1,40.46400070,-69.52999878,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 01:19:00,Argos,2,40.46300125,-69.54501343,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 01:19:00,Argos,2,40.46300125,-69.54499817,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 02:01:40,Argos,3,40.48099899,-69.52301025,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 02:56:30,Argos,B,40.49100113,-69.49798584,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 02:56:30,Argos,B,40.49100113,-69.49800110,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 02:59:14,Argos,B,40.49200058,-69.49798584,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 02:59:14,Argos,B,40.49200058,-69.49800110,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 05:36:52,Argos,B,40.51499939,-69.40899658,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 08:15:11,Argos,B,40.43899918,-69.43899536,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 08:58:54,Argos,1,40.43399811,-69.41400146,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 08:59:21,Argos,B,40.43899918,-69.44500732,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 09:07:48,Argos,A,40.43000031,-69.41500854,,,,,,,,,
"Beamer",132346,SPOT,2013-08-05 09:55:23,Argos,1,40.43799973,-69.40899658,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 00:02:47,Argos,2,40.53599930,-69.08898926,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 00:41:18,Argos,1,40.53300095,-69.07299805,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 00:55:18,Argos,3,40.54299927,-69.06298828,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 00:55:18,Argos,3,40.54299927,-69.06300354,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 01:05:48,Argos,B,40.54399872,-69.06298828,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 01:05:48,Argos,B,40.54399872,-69.06300354,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 01:39:49,Argos,B,40.54399872,-69.05599976,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 02:34:45,Argos,B,40.54299927,-69.05999756,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 06:23:13,Argos,B,40.55599976,-68.95999146,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 08:03:37,Argos,0,40.54700089,-68.87701416,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 08:03:37,Argos,0,40.54700089,-68.87699890,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 08:40:20,Argos,A,40.54600143,-68.85699463,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 08:42:02,Argos,2,40.54999924,-68.89300537,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 08:44:40,Argos,A,40.55099869,-68.89199829,,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 09:44:47,Argos,1,40.54499817,-68.88400269,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 10:16:07,Argos,3,40.55400085,-68.88699341,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 10:19:06,Argos,3,40.55500031,-68.88101196,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-06 10:19:06,Argos,3,40.55500031,-68.88099670,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 00:38:20,Argos,2,40.78400040,-68.73498535,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 00:38:20,Argos,2,40.78400040,-68.73500061,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 05:10:24,Argos,2,40.77899933,-68.71499634,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 08:40:56,Argos,B,40.78200150,-68.68600464,,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 09:36:56,Argos,A,40.67300034,-68.75100708,,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 09:48:29,Argos,2,40.66799927,-68.76400757,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 09:49:38,Argos,2,40.66899872,-68.75900269,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 11:27:04,Argos,1,40.64199829,-68.79699707,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-07 11:29:20,Argos,1,40.63499832,-68.79598999,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 10:56:43,Argos,B,40.56399918,-68.80099487,,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 12:59:29,Argos,3,40.55500031,-68.37200928,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 13:21:55,Argos,2,40.55799866,-68.37100220,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 14:14:32,Argos,1,40.57799911,-68.36299896,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 14:17:09,Argos,1,40.57799911,-68.36300659,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 14:57:32,Argos,3,40.59899902,-68.36999512,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 16:24:18,Argos,A,40.59999847,-68.39801025,,,,,,,,,
"Beamer",132346,SPOT,2013-08-08 16:30:02,Argos,3,40.61999893,-68.34799194,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 00:02:31,Argos,B,40.64599991,-68.16900635,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 00:33:47,Argos,B,40.63100052,-68.22299194,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 00:41:35,Argos,2,40.67900085,-68.11300659,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 00:49:07,Argos,1,40.67300034,-68.12899780,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 01:42:05,Argos,B,40.68000031,-68.12799072,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 02:15:14,Argos,B,40.65900040,-68.15499878,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 04:50:35,Argos,B,40.70500183,-68.11898804,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 04:50:35,Argos,B,40.70500183,-68.11900330,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 06:31:08,Argos,B,40.70399857,-68.10598755,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 06:31:08,Argos,B,40.70399857,-68.10600281,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 07:35:50,Argos,B,40.62900162,-67.89498901,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 08:09:57,Argos,0,40.65200043,-67.84500122,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 08:11:51,Argos,0,40.65200043,-67.84500122,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 08:42:11,Argos,0,40.64199829,-67.83801270,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 08:42:11,Argos,0,40.64199829,-67.83799744,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 08:57:13,Argos,0,40.64599991,-67.84600830,,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 09:12:00,Argos,3,40.64300156,-67.84600830,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-09 12:03:14,Argos,A,40.68999863,-67.87500000,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 00:17:43,Argos,1,40.88100052,-67.76800537,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 00:18:14,Argos,2,40.87599945,-67.76000977,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 00:19:42,Argos,2,40.87599945,-67.77099609,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 01:13:03,Argos,A,40.89199829,-67.77200317,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 02:03:23,Argos,B,40.89799881,-67.75100708,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 02:04:53,Argos,0,40.90200043,-67.73098755,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 02:04:53,Argos,0,40.90200043,-67.73100281,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 06:20:53,Argos,1,40.93999863,-67.59298706,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 06:20:53,Argos,1,40.93999863,-67.59300232,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 07:15:47,Argos,2,40.95399857,-67.57901001,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 07:59:01,Argos,1,40.96099854,-67.56698608,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 07:59:01,Argos,1,40.96099854,-67.56700134,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 08:00:11,Argos,1,40.96099854,-67.56700134,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 08:15:35,Argos,B,40.95899963,-67.56399536,,,,,,,,,
"Beamer",132346,SPOT,2013-08-10 08:59:21,Argos,1,40.95199966,-67.54000854,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 00:00:53,Argos,1,41.17300034,-67.48300171,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 00:07:05,Argos,2,41.17699814,-67.49499512,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 07:15:10,Argos,B,41.22000122,-67.41900635,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 07:46:17,Argos,B,41.25600052,-67.38800049,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 07:50:24,Argos,A,41.15999985,-67.51199341,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 08:13:34,Argos,B,41.15900040,-67.51400757,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 08:45:21,Argos,3,41.13000107,-67.47499847,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 08:47:59,Argos,3,41.13000107,-67.47500610,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 09:22:14,Argos,3,41.11299896,-67.46798706,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 09:22:14,Argos,3,41.11299896,-67.46800232,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 09:51:03,Argos,0,41.08800125,-67.46200562,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 10:30:05,Argos,A,41.06900024,-67.43899536,,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 11:00:22,Argos,2,41.04199982,-67.45999146,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 11:29:48,Argos,1,41.02500153,-67.45001221,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-11 11:29:48,Argos,1,41.02500153,-67.44999695,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 00:33:04,Argos,B,40.98899841,-67.46099854,,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 06:54:55,Argos,2,41.00199890,-67.07699585,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 08:38:15,Argos,B,40.97900009,-67.03698730,,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 08:38:15,Argos,B,40.97900009,-67.03700256,,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 09:29:30,Argos,2,41.02399826,-67.03399658,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 10:21:09,Argos,B,41.02500153,-67.01800537,,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 10:32:39,Argos,2,41.02700043,-67.04098511,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 10:32:39,Argos,2,41.02700043,-67.04100037,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 11:05:56,Argos,1,41.03300095,-67.05899048,1500,,,,,,,,
