DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Larry,141268,SPOT,DS,13,0,1,59,45,10:44:04 20-Nov-2015,SR,2,38.5361,-66.8040,38.5361,-66.8040,48,,401677534,-121
Larry,141268,SPOT,DS,13,0,1,59,45,10:48:31 20-Nov-2015,R,2,38.5360,-66.8040,,,48,,401677534,-121
Larry,141268,SPOT,DS,14,0,0,49,45,10:49:39 20-Nov-2015,NN,3,38.5413,-66.7957,38.5413,-66.7957,50,,401677532,-124
Larry,141268,SPOT,DS,14,0,0,49,45,10:50:47 20-Nov-2015,N,3,38.5410,-66.7960,,,50,,401677532,-124
Larry,141268,SPOT,DS,10,0,1,63,45,11:27:56 20-Nov-2015,NK,3,38.5567,-66.7957,38.5567,-66.7957,58,,401677531,-125
Larry,141268,SPOT,DS,10,0,1,63,45,11:35:28 20-Nov-2015,K,3,38.5570,-66.7960,,,58,,401677531,-125
Larry,141268,SPOT,DS,7,0,1,105,47,14:08:57 20-Nov-2015,MA,2,38.6096,-66.8451,38.6096,-66.8451,58,,401677534,-115
Larry,141268,SPOT,DS,7,0,1,105,47,14:08:24 20-Nov-2015,A,2,38.6100,-66.8450,,,58,,401677534,-115
Larry,141268,SPOT,DS,4,0,1,104,90,05:21:10 21-Nov-2015,NP,0,38.7641,-66.9073,38.7641,-66.9073,50,,401677536,-133
Larry,141268,SPOT,DS,4,0,1,104,90,05:24:47 21-Nov-2015,P,0,38.7640,-66.9070,,,50,,401677536,-133
Larry,141268,SPOT,DS,8,0,0,66,45,07:00:28 21-Nov-2015,NP,2,38.7631,-66.9046,38.7631,-66.9046,58,,401677534,-124
Larry,141268,SPOT,DS,8,0,0,66,45,07:07:28 21-Nov-2015,P,2,38.7630,-66.9050,,,58,,401677534,-124
Larry,141268,SPOT,DS,1,0,0,,,08:32:05 21-Nov-2015,SR,B,38.7810,-66.8990,38.7810,-66.8990,8,,401677515,-132
Larry,141268,SPOT,DS,1,0,0,,,08:32:06 21-Nov-2015,R,B,38.7810,-66.8990,,,8,,401677515,-132
Larry,141268,SPOT,DS,3,0,0,49,47,08:43:56 21-Nov-2015,NP,A,38.7530,-66.9204,38.7530,-66.9204,8,,401677532,-133
Larry,141268,SPOT,DS,3,0,0,49,47,08:44:22 21-Nov-2015,P,A,38.7530,-66.9200,,,8,,401677532,-133
Larry,141268,SPOT,DS,4,0,0,125,49,10:41:52 21-Nov-2015,NN,0,38.7349,-66.9247,38.7349,-66.9247,58,,401677539,-124
Larry,141268,SPOT,DS,4,0,0,125,49,10:46:38 21-Nov-2015,N,0,38.7350,-66.9250,,,58,,401677539,-124
Larry,141268,SPOT,DS,4,0,1,128,85,11:03:23 21-Nov-2015,NK,2,38.7345,-66.9480,38.7345,-66.9480,50,,401677540,-124
Larry,141268,SPOT,DS,4,0,1,128,85,11:06:47 21-Nov-2015,K,2,38.7340,-66.9480,,,50,,401677540,-124
Larry,141268,SPOT,DS,3,0,1,78,48,12:18:04 21-Nov-2015,NN,A,38.7379,-66.9293,38.7379,-66.9293,7,,401677557,-135
Larry,141268,SPOT,DS,3,0,1,78,48,12:19:54 21-Nov-2015,N,A,38.7380,-66.9290,,,7,,401677557,-135
Larry,141268,SPOT,DS,1,0,0,,,02:48:04 22-Nov-2015,MA,B,38.6155,-66.9438,38.6155,-66.9438,,,401677514,-122
Larry,141268,SPOT,DS,1,0,0,,,02:48:05 22-Nov-2015,A,B,38.6160,-66.9440,,,,,401677514,-122
Larry,141268,SPOT,DS,7,0,0,79,49,09:01:47 22-Nov-2015,NK,1,38.5363,-66.8877,38.5363,-66.8877,58,,401677540,-127
Larry,141268,SPOT,DS,7,0,0,79,49,09:03:16 22-Nov-2015,K,1,38.5360,-66.8880,,,58,,401677540,-127
Larry,141268,SPOT,DS,1,0,0,,,10:34:19 22-Nov-2015,NN,B,38.5315,-66.8811,38.5315,-66.8811,8,,401677543,-133
Larry,141268,SPOT,DS,1,0,0,,,10:34:20 22-Nov-2015,N,B,38.5320,-66.8810,,,8,,401677543,-133
Larry,141268,SPOT,DS,7,0,0,93,45,10:41:34 22-Nov-2015,NK,1,38.5594,-66.8630,38.5594,-66.8630,50,,401677541,-125
Larry,141268,SPOT,DS,7,0,0,93,45,10:45:08 22-Nov-2015,K,1,38.5590,-66.8630,,,50,,401677542,-125
Larry,141268,SPOT,DS,1,0,0,,,11:18:52 22-Nov-2015,SR,B,38.5570,-66.8620,38.5570,-66.8620,8,,401677530,-135
Larry,141268,SPOT,DS,1,0,0,,,11:18:53 22-Nov-2015,R,B,38.5570,-66.8620,,,8,,401677530,-135
Larry,141268,SPOT,DS,9,0,0,75,48,13:24:38 22-Nov-2015,MA,2,38.5443,-66.7628,38.5443,-66.7628,58,,401677540,-119
Larry,141268,SPOT,DS,9,0,0,75,48,13:28:41 22-Nov-2015,A,2,38.5440,-66.7630,,,58,,401677540,-119
Larry,141268,SPOT,DS,6,0,2,67,48,14:15:24 22-Nov-2015,MB,1,38.5375,-66.7216,38.5375,-66.7216,58,,401677544,-134
Larry,141268,SPOT,DS,6,0,2,67,48,14:14:47 22-Nov-2015,B,1,38.5370,-66.7220,,,58,,401677544,-134
Larry,141268,SPOT,DS,7,0,1,76,54,15:06:40 22-Nov-2015,MA,3,38.5387,-66.6951,38.5361,-66.6905,58,,401677543,-122
Larry,141268,SPOT,DS,7,0,1,67,54,15:07:08 22-Nov-2015,A,3,38.5390,-66.6950,,,58,,401677542,-122
Larry,141268,SPOT,DS,1,0,0,,,08:24:09 23-Nov-2015,NP,B,38.8039,-66.1576,38.8039,-66.1576,,,401677491,-135
Larry,141268,SPOT,DS,1,0,0,,,08:24:10 23-Nov-2015,P,B,38.8040,-66.1580,,,,,401677491,-135
Larry,141268,SPOT,DS,1,0,0,,,08:35:36 23-Nov-2015,NN,B,38.7322,-65.5758,38.7322,-65.5758,,,401677546,-130
Larry,141268,SPOT,DS,1,0,0,,,08:35:36 23-Nov-2015,NK,B,38.7329,-65.5758,38.7329,-65.5758,,,401677546,-133
Larry,141268,SPOT,DS,1,0,0,,,08:35:36 23-Nov-2015,N,B,38.7320,-65.5760,,,,,401677546,-130
Larry,141268,SPOT,DS,1,0,0,,,08:35:36 23-Nov-2015,K,B,38.7330,-65.5760,,,,,401677546,-133
Larry,141268,SPOT,DS,1,0,0,,,09:07:01 23-Nov-2015,SR,B,38.7184,-65.5212,38.7184,-65.5212,8,,401677535,-126
Larry,141268,SPOT,DS,1,0,0,,,09:07:01 23-Nov-2015,R,B,38.7180,-65.5210,,,8,,401677535,-126
Larry,141268,SPOT,DS,5,0,0,82,45,11:54:05 23-Nov-2015,NK,2,38.7700,-65.0449,38.7700,-65.0449,58,,401677518,-129
Larry,141268,SPOT,DS,5,0,0,82,45,11:56:28 23-Nov-2015,K,2,38.7700,-65.0450,,,58,,401677518,-129
Larry,141268,SPOT,DS,1,0,0,,,11:54:08 23-Nov-2015,NN,B,38.7700,-65.0449,38.7700,-65.0449,,,401677518,-137
Larry,141268,SPOT,DS,1,0,0,,,11:54:08 23-Nov-2015,N,B,38.7700,-65.0450,,,,,401677518,-137
Larry,141268,SPOT,DS,8,0,2,67,45,13:04:37 23-Nov-2015,MA,1,38.7690,-64.9278,38.7690,-64.9278,48,,401677513,-122
Larry,141268,SPOT,DS,8,0,2,67,45,13:07:49 23-Nov-2015,A,1,38.7690,-64.9280,,,48,,401677513,-122
Larry,141268,SPOT,DS,2,0,0,413,413,13:56:50 23-Nov-2015,MB,B,38.7693,-64.8769,38.7693,-64.8769,8,,401677509,-127
Larry,141268,SPOT,DS,2,0,0,413,413,13:56:51 23-Nov-2015,B,B,38.7690,-64.8770,,,8,,401677509,-127
Larry,141268,SPOT,DS,8,0,0,81,46,14:46:28 23-Nov-2015,MA,3,38.7851,-64.7487,38.7851,-64.7487,58,,401677517,-119
Larry,141268,SPOT,DS,8,0,0,81,46,14:46:20 23-Nov-2015,A,3,38.7850,-64.7490,,,58,,401677517,-119
Larry,141268,SPOT,DS,4,0,0,105,47,19:30:48 24-Nov-2015,NK,0,37.8253,-63.1922,37.8253,-63.1922,40,,401677484,-132
Larry,141268,SPOT,DS,4,0,0,105,47,19:30:29 24-Nov-2015,K,0,37.8250,-63.1920,,,40,,401677484,-132
Larry,141268,SPOT,DS,2,0,1,53,53,19:34:34 24-Nov-2015,NP,B,37.7289,-63.2845,37.7289,-63.2845,,,401677496,-136
Larry,141268,SPOT,DS,2,0,1,53,53,19:34:08 24-Nov-2015,P,B,37.7290,-63.2850,,,,,401677496,-136
Larry,141268,SPOT,DS,7,0,0,100,50,19:47:15 24-Nov-2015,NN,2,37.7105,-63.1563,37.7105,-63.1563,50,,401677523,-129
Larry,141268,SPOT,DS,7,0,0,100,50,19:46:47 24-Nov-2015,N,2,37.7100,-63.1560,,,50,,401677523,-129
Larry,141268,SPOT,DS,1,0,1,,,20:52:58 24-Nov-2015,SR,B,37.6985,-63.0677,37.6985,-63.0677,7,,401677537,-137
Larry,141268,SPOT,DS,1,0,1,,,20:52:59 24-Nov-2015,R,B,37.6990,-63.0680,,,7,,401677537,-137
Larry,141268,SPOT,DS,9,0,0,84,45,21:09:33 24-Nov-2015,NK,2,37.6318,-63.1163,37.6318,-63.1163,58,,401677518,-121
Larry,141268,SPOT,DS,9,0,0,89,45,21:11:53 24-Nov-2015,K,2,37.6320,-63.1160,,,58,,401677518,-121
Larry,141268,SPOT,DS,6,0,0,114,52,21:33:57 24-Nov-2015,NN,3,37.6125,-63.1107,37.6117,-63.1085,50,,401677519,-123
